variable_name,description,source,origin_dataset,relevant_URLs,output_relation
district,District code: two-letter state code followed by congressional district number. Used to merge various datasets,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_1 (Entity-time variables)
cycle,Year of election cycle. Used to merge various datasets,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_1 (Entity-time variables)
real_data,"Because we balance the panel data (i.e., have every cycle for each district), this dummy is used to indicate whether the district-cycle existed (value: 1) or not (value: 0). For the sake of this research, we consider a district to exist in cycles when elections are held. We create the dummy when merging the grouped-by district and cycle contribution-level dataset (depending on the variables, either OUTPUT_2, OUTPUT_3, OUTPUT_4, or OUTPUT_8) with a dataset that contains all district and cycle combinations that were either created or discontinued after 1980 (new_districts_filtered.csv), since every DIME contribution comes after this election year. If the district-cycle was created before 1980 and has no discontinuation year, it implies the district's persistent existence in our period of interest (i.e., 1980 to 2024), meaning that the district will always receive 1 and we don't have to deal with this. If a district-cycle was either created or discontinued or both after 1980, then this district-cycle receives 1 if the cycle is between the district's creation and discontinuation year, while it receives 0 if the cycle is before the district's creation year or later than the district's discontinuation year. Missing values coming from 'fake districts' (real_data == 0) were replaced with zeros.",Wikipedia,new_districts.html; new_districts.csv; new_districts_filtered_universe.csv; new_districts_filtered_universe_party.csv,https://en.wikipedia.org/wiki/List_of_United_States_congressional_districts,"OUTPUT_2, OUTPUT_3, OUTPUT_4, OUTPUT_8 (Variables measured in or related to dollar amounts)"
territorial,Dummy indicating whether district is a non-voting delegation (i.e. does not have a vote in the US House of Representative).,Wikipedia,new_districts.html; new_districts.csv; new_districts_filtered_universe.csv; new_districts_filtered_universe_party.csv,https://en.wikipedia.org/wiki/List_of_United_States_congressional_districts,"OUTPUT_2, OUTPUT_3, OUTPUT_4, OUTPUT_8 (Variables measured in or related to dollar amounts)"
total_amount,Total amount of all contribution types going to all election types in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count,Number of transactions for total_amount,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_without_LTS1,"Total amount of all contribution types going to all election types before the date of the special election in that district-cycle, if applicable (measured in dollars). We get special elections date from our webscraping the Wikipedia page with this information (see variables in OUTPUT_7 for more details).",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_without_LTS1,Number of transactions for total_amount_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_no_primary,Total amount of all contribution types going to all election types (except primary elections) in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_no_primary,Number of transactions for total_amount_no_primary,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_no_primary_without_LTS1,"Total amount of all contribution types going to all election types (except primary elections) before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_no_primary_without_LTS1,Number of transactions for total_amount_no_primary_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_primary,Total amount of all contribution types going to primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_primary,Number of transactions for total_amount_primary,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_primary_without_LTS1,"Total amount of all contribution types going to primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_primary_without_LTS1,Number of transactions for total_amount_primary_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_gen,Total amount of all contribution types going to general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_gen,Number of transactions for total_amount_gen,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_gen_without_LTS1,"Total amount of all contribution types going to general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_gen_without_LTS1,Number of transactions for total_amount_gen_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_special,Total amount of all contribution types going to special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_special,Number of transactions for total_amount_special,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_special_without_LTS1,"Total amount of all contribution types going to special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_special_without_LTS1,Number of transactions for total_amount_special_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_dem_gen,Total amount of all contribution types going to Democratic candidate in general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_dem_gen,Number of transactions for total_amount_dem_gen,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_dem_gen_without_LTS1,"Total amount of all contribution types going to Democratic candidate in general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_dem_gen_without_LTS1,Number of transactions for total_amount_dem_gen_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
