district,cycle,real_data,territorial,total_amount,tran_count,total_amount_without_LTS1,tran_count_without_LTS1,total_amount_no_primary,tran_count_no_primary,total_amount_no_primary_without_LTS1,tran_count_no_primary_without_LTS1,total_amount_primary,tran_count_primary,total_amount_primary_without_LTS1,tran_count_primary_without_LTS1,total_amount_gen,tran_count_gen,total_amount_gen_without_LTS1,tran_count_gen_without_LTS1,total_amount_special,tran_count_special,total_amount_special_without_LTS1,tran_count_special_without_LTS1,total_amount_dem_gen,tran_count_dem_gen,total_amount_dem_gen_without_LTS1,tran_count_dem_gen_without_LTS1,total_amount_dem_primary,tran_count_dem_primary,total_amount_dem_primary_without_LTS1,tran_count_dem_primary_without_LTS1,total_amount_dem_special,tran_count_dem_special,total_amount_dem_special_without_LTS1,tran_count_dem_special_without_LTS1,total_amount_rep_gen,tran_count_rep_gen,total_amount_rep_gen_without_LTS1,tran_count_rep_gen_without_LTS1,total_amount_rep_primary,tran_count_rep_primary,total_amount_rep_primary_without_LTS1,tran_count_rep_primary_without_LTS1,total_amount_rep_special,tran_count_rep_special,total_amount_rep_special_without_LTS1,tran_count_rep_special_without_LTS1
AK01,1980,1.0,0,184310.0,481.0,184310.0,481.0,72984.0,157.0,72984.0,157.0,111326.0,324.0,111326.0,324.0,64934.0,127.0,64934.0,127.0,0.0,0.0,0.0,0.0,6725.0,22.0,6725.0,22.0,5890.0,13.0,5890.0,13.0,0.0,0.0,0.0,0.0,58209.0,105.0,58209.0,105.0,105436.0,311.0,105436.0,311.0,0.0,0.0,0.0,0.0
AK01,1982,1.0,0,114783.0,261.0,114783.0,261.0,49256.0,85.0,49256.0,85.0,65527.0,176.0,65527.0,176.0,49256.0,85.0,49256.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49256.0,85.0,49256.0,85.0,65527.0,176.0,65527.0,176.0,0.0,0.0,0.0,0.0
AK01,1984,1.0,0,1956886.0,847.0,1956886.0,847.0,1766948.0,520.0,1766948.0,520.0,189938.0,327.0,189938.0,327.0,1766948.0,520.0,1766948.0,520.0,0.0,0.0,0.0,0.0,42750.0,45.0,42750.0,45.0,52212.0,64.0,52212.0,64.0,0.0,0.0,0.0,0.0,1724198.0,475.0,1724198.0,475.0,137726.0,263.0,137726.0,263.0,0.0,0.0,0.0,0.0
AK01,1986,1.0,0,446037.0,619.0,446037.0,619.0,255803.0,275.0,255803.0,275.0,190234.0,344.0,190234.0,344.0,255803.0,275.0,255803.0,275.0,0.0,0.0,0.0,0.0,39954.0,42.0,39954.0,42.0,30848.0,23.0,30848.0,23.0,0.0,0.0,0.0,0.0,215849.0,233.0,215849.0,233.0,159386.0,321.0,159386.0,321.0,0.0,0.0,0.0,0.0
AK01,1988,1.0,0,205472.0,296.0,205472.0,296.0,106722.0,151.0,106722.0,151.0,98750.0,145.0,98750.0,145.0,106722.0,151.0,106722.0,151.0,0.0,0.0,0.0,0.0,42197.0,55.0,42197.0,55.0,23150.0,32.0,23150.0,32.0,0.0,0.0,0.0,0.0,64525.0,96.0,64525.0,96.0,75600.0,113.0,75600.0,113.0,0.0,0.0,0.0,0.0
AK01,1990,1.0,0,580433.0,868.0,580433.0,868.0,281577.0,340.0,281577.0,340.0,298856.0,528.0,298856.0,528.0,281577.0,340.0,281577.0,340.0,0.0,0.0,0.0,0.0,54768.0,37.0,54768.0,37.0,23520.0,42.0,23520.0,42.0,0.0,0.0,0.0,0.0,226809.0,303.0,226809.0,303.0,275336.0,486.0,275336.0,486.0,0.0,0.0,0.0,0.0
AK01,1992,1.0,0,1131172.0,1676.0,1131172.0,1676.0,547226.0,647.0,547226.0,647.0,583946.0,1029.0,583946.0,1029.0,547226.0,647.0,547226.0,647.0,0.0,0.0,0.0,0.0,140151.0,148.0,140151.0,148.0,116323.0,198.0,116323.0,198.0,0.0,0.0,0.0,0.0,407075.0,499.0,407075.0,499.0,467623.0,831.0,467623.0,831.0,0.0,0.0,0.0,0.0
AK01,1994,1.0,0,1152921.0,1785.0,1152921.0,1785.0,573581.0,788.0,573581.0,788.0,579340.0,997.0,579340.0,997.0,573581.0,788.0,573581.0,788.0,0.0,0.0,0.0,0.0,161859.0,207.0,161859.0,207.0,153721.0,246.0,153721.0,246.0,0.0,0.0,0.0,0.0,410671.0,578.0,410671.0,578.0,423208.0,745.0,423208.0,745.0,0.0,0.0,0.0,0.0
AK01,1996,1.0,0,1176715.0,1729.0,1176715.0,1729.0,471019.0,633.0,471019.0,633.0,705696.0,1096.0,705696.0,1096.0,470769.0,632.0,470769.0,632.0,0.0,0.0,0.0,0.0,31203.0,62.0,31203.0,62.0,62274.0,117.0,62274.0,117.0,0.0,0.0,0.0,0.0,439566.0,570.0,439566.0,570.0,643422.0,979.0,643422.0,979.0,0.0,0.0,0.0,0.0
AK01,1998,1.0,0,1551518.0,2335.0,1551518.0,2335.0,643582.0,888.0,643582.0,888.0,907936.0,1447.0,907936.0,1447.0,642582.0,887.0,642582.0,887.0,0.0,0.0,0.0,0.0,148744.0,207.0,148744.0,207.0,188221.0,357.0,188221.0,357.0,0.0,0.0,0.0,0.0,493838.0,680.0,493838.0,680.0,719715.0,1090.0,719715.0,1090.0,0.0,0.0,0.0,0.0
AK01,2000,1.0,0,1173955.0,1595.0,1173955.0,1595.0,427883.0,494.0,427883.0,494.0,746072.0,1101.0,746072.0,1101.0,427883.0,494.0,427883.0,494.0,0.0,0.0,0.0,0.0,9250.0,9.0,9250.0,9.0,10250.0,8.0,10250.0,8.0,0.0,0.0,0.0,0.0,418633.0,485.0,418633.0,485.0,735822.0,1093.0,735822.0,1093.0,0.0,0.0,0.0,0.0
AK01,2002,1.0,0,2225636.14,2633.0,2225636.14,2633.0,682043.14,742.0,682043.14,742.0,1543593.0,1891.0,1543593.0,1891.0,668001.0,671.0,668001.0,671.0,1000.0,1.0,1000.0,1.0,1000.0,1.0,1000.0,1.0,1000.0,1.0,1000.0,1.0,0.0,0.0,0.0,0.0,667001.0,670.0,667001.0,670.0,1542593.0,1890.0,1542593.0,1890.0,1000.0,1.0,1000.0,1.0
AK01,2004,1.0,0,2611097.73,2761.0,2611097.73,2761.0,603250.73,579.0,603250.73,579.0,2007847.0,2182.0,2007847.0,2182.0,538644.0,449.0,538644.0,449.0,0.0,0.0,0.0,0.0,13500.0,10.0,13500.0,10.0,25000.0,22.0,25000.0,22.0,0.0,0.0,0.0,0.0,525144.0,439.0,525144.0,439.0,1982847.0,2160.0,1982847.0,2160.0,0.0,0.0,0.0,0.0
