district,cycle,total_amount_ind,tran_count_ind,total_amount_without_LTS1_ind,tran_count_without_LTS1_ind,total_amount_no_primary_ind,tran_count_no_primary_ind,total_amount_no_primary_without_LTS1_ind,tran_count_no_primary_without_LTS1_ind,total_amount_primary_ind,tran_count_primary_ind,total_amount_primary_without_LTS1_ind,tran_count_primary_without_LTS1_ind,total_amount_gen_ind,tran_count_gen_ind,total_amount_gen_without_LTS1_ind,tran_count_gen_without_LTS1_ind,total_amount_special_ind,tran_count_special_ind,total_amount_special_without_LTS1_ind,tran_count_special_without_LTS1_ind,total_amount_dem_gen_ind,tran_count_dem_gen_ind,total_amount_dem_gen_without_LTS1_ind,tran_count_dem_gen_without_LTS1_ind,total_amount_dem_primary_ind,tran_count_dem_primary_ind,total_amount_dem_primary_without_LTS1_ind,tran_count_dem_primary_without_LTS1_ind,total_amount_dem_special_ind,tran_count_dem_special_ind,total_amount_dem_special_without_LTS1_ind,tran_count_dem_special_without_LTS1_ind,total_amount_rep_gen_ind,tran_count_rep_gen_ind,total_amount_rep_gen_without_LTS1_ind,tran_count_rep_gen_without_LTS1_ind,total_amount_rep_primary_ind,tran_count_rep_primary_ind,total_amount_rep_primary_without_LTS1_ind,tran_count_rep_primary_without_LTS1_ind,total_amount_rep_special_ind,tran_count_rep_special_ind,total_amount_rep_special_without_LTS1_ind,tran_count_rep_special_without_LTS1_ind,total_amount_smallind,tran_count_smallind,total_amount_without_LTS1_smallind,tran_count_without_LTS1_smallind,total_amount_no_primary_smallind,tran_count_no_primary_smallind,total_amount_no_primary_without_LTS1_smallind,tran_count_no_primary_without_LTS1_smallind,total_amount_primary_smallind,tran_count_primary_smallind,total_amount_primary_without_LTS1_smallind,tran_count_primary_without_LTS1_smallind,total_amount_gen_smallind,tran_count_gen_smallind,total_amount_gen_without_LTS1_smallind,tran_count_gen_without_LTS1_smallind,total_amount_special_smallind,tran_count_special_smallind,total_amount_special_without_LTS1_smallind,tran_count_special_without_LTS1_smallind,total_amount_dem_gen_smallind,tran_count_dem_gen_smallind,total_amount_dem_gen_without_LTS1_smallind,tran_count_dem_gen_without_LTS1_smallind,total_amount_dem_primary_smallind,tran_count_dem_primary_smallind,total_amount_dem_primary_without_LTS1_smallind,tran_count_dem_primary_without_LTS1_smallind,total_amount_dem_special_smallind,tran_count_dem_special_smallind,total_amount_dem_special_without_LTS1_smallind,tran_count_dem_special_without_LTS1_smallind,total_amount_rep_gen_smallind,tran_count_rep_gen_smallind,total_amount_rep_gen_without_LTS1_smallind,tran_count_rep_gen_without_LTS1_smallind,total_amount_rep_primary_smallind,tran_count_rep_primary_smallind,total_amount_rep_primary_without_LTS1_smallind,tran_count_rep_primary_without_LTS1_smallind,total_amount_rep_special_smallind,tran_count_rep_special_smallind,total_amount_rep_special_without_LTS1_smallind,tran_count_rep_special_without_LTS1_smallind
AK01,1980,79905.0,248.0,79905.0,248.0,23325.0,74.0,23325.0,74.0,56580.0,174.0,56580.0,174.0,15275.0,44.0,15275.0,44.0,0.0,0.0,0.0,0.0,6725.0,22.0,6725.0,22.0,4790.0,11.0,4790.0,11.0,0.0,0.0,0.0,0.0,8550.0,22.0,8550.0,22.0,51790.0,163.0,51790.0,163.0,0.0,0.0,0.0,0.0,7065.0,61.0,7065.0,61.0,1575.0,20.0,1575.0,20.0,5490.0,41.0,5490.0,41.0,775.0,6.0,775.0,6.0,0.0,0.0,0.0,0.0,225.0,2.0,225.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,4.0,550.0,4.0,5490.0,41.0,5490.0,41.0,0.0,0.0,0.0,0.0
AL01,1980,2612.0,31.0,2612.0,31.0,1400.0,16.0,1400.0,16.0,1212.0,15.0,1212.0,15.0,1000.0,1.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,1000.0,1.0,1212.0,15.0,1212.0,15.0,0.0,0.0,0.0,0.0,962.0,27.0,962.0,27.0,400.0,15.0,400.0,15.0,562.0,12.0,562.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,12.0,562.0,12.0,0.0,0.0,0.0,0.0
AL02,1980,19512.0,81.0,19512.0,81.0,7000.0,11.0,7000.0,11.0,12512.0,70.0,12512.0,70.0,7000.0,11.0,7000.0,11.0,0.0,0.0,0.0,0.0,500.0,1.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,10.0,6500.0,10.0,12512.0,70.0,12512.0,70.0,0.0,0.0,0.0,0.0,2012.0,34.0,2012.0,34.0,0.0,0.0,0.0,0.0,2012.0,34.0,2012.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,34.0,2012.0,34.0,0.0,0.0,0.0,0.0
AL03,1980,4900.0,8.0,4900.0,8.0,0.0,0.0,0.0,0.0,4900.0,8.0,4900.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,8.0,4900.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL04,1980,7100.0,28.0,7100.0,28.0,0.0,0.0,0.0,0.0,7100.0,28.0,7100.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7100.0,28.0,7100.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,14.0,600.0,14.0,0.0,0.0,0.0,0.0,600.0,14.0,600.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,14.0,600.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL05,1980,17387.0,67.0,17387.0,67.0,500.0,1.0,500.0,1.0,16887.0,66.0,16887.0,66.0,500.0,1.0,500.0,1.0,0.0,0.0,0.0,0.0,500.0,1.0,500.0,1.0,16887.0,66.0,16887.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.0,26.0,2312.0,26.0,0.0,0.0,0.0,0.0,2312.0,26.0,2312.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.0,26.0,2312.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL06,1980,112759.0,240.0,112759.0,240.0,39150.0,70.0,39150.0,70.0,73609.0,170.0,73609.0,170.0,37750.0,67.0,37750.0,67.0,0.0,0.0,0.0,0.0,4550.0,7.0,4550.0,7.0,7800.0,11.0,7800.0,11.0,0.0,0.0,0.0,0.0,33200.0,60.0,33200.0,60.0,65809.0,159.0,65809.0,159.0,0.0,0.0,0.0,0.0,4747.0,49.0,4747.0,49.0,500.0,4.0,500.0,4.0,4247.0,45.0,4247.0,45.0,350.0,3.0,350.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,3.0,350.0,3.0,4247.0,45.0,4247.0,45.0,0.0,0.0,0.0,0.0
AL07,1980,36140.0,71.0,36140.0,71.0,15520.0,40.0,15520.0,40.0,20620.0,31.0,20620.0,31.0,14470.0,36.0,14470.0,36.0,0.0,0.0,0.0,0.0,14470.0,36.0,14470.0,36.0,20620.0,31.0,20620.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,8.0,1032.0,8.0,912.0,7.0,912.0,7.0,120.0,1.0,120.0,1.0,912.0,7.0,912.0,7.0,0.0,0.0,0.0,0.0,912.0,7.0,912.0,7.0,120.0,1.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR01,1980,25050.0,77.0,25050.0,77.0,2050.0,6.0,2050.0,6.0,23000.0,71.0,23000.0,71.0,2050.0,6.0,2050.0,6.0,0.0,0.0,0.0,0.0,2050.0,6.0,2050.0,6.0,23000.0,71.0,23000.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,31.0,2000.0,31.0,0.0,0.0,0.0,0.0,2000.0,31.0,2000.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,31.0,2000.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR02,1980,96933.0,381.0,96933.0,381.0,30040.0,51.0,30040.0,51.0,66893.0,330.0,66893.0,330.0,26940.0,45.0,26940.0,45.0,0.0,0.0,0.0,0.0,4750.0,12.0,4750.0,12.0,2514.0,3.0,2514.0,3.0,0.0,0.0,0.0,0.0,22190.0,33.0,22190.0,33.0,64379.0,327.0,64379.0,327.0,0.0,0.0,0.0,0.0,22343.0,199.0,22343.0,199.0,0.0,0.0,0.0,0.0,22343.0,199.0,22343.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22343.0,199.0,22343.0,199.0,0.0,0.0,0.0,0.0
