district,cycle,real_data,territorial,district_pres_vs_avg,district_pres_vs_num_candidates,district_color_35_65,district_color_30_70,district_color_40_60
AK01,1980,1.0,0,0.327,3.0,R,C,R
AK01,1982,1.0,0,0.327,1.0,R,C,R
AK01,1984,1.0,0,0.309,3.0,R,C,R
AK01,1986,1.0,0,0.309,2.0,R,C,R
AK01,1988,1.0,0,0.378,2.0,C,C,R
AK01,1990,1.0,0,0.378,2.0,C,C,R
AK01,1992,1.0,0,0.434,4.0,C,C,C
AK01,1994,1.0,0,0.43399999999999994,4.0,C,C,C
AK01,1996,1.0,0,0.3960000000000001,4.0,C,C,R
AK01,1998,1.0,0,0.396,4.0,C,C,R
AK01,2000,1.0,0,0.321,3.0,R,C,R
AK01,2002,1.0,0,0.321,3.0,R,C,R
AK01,2004,1.0,0,0.37099999999999994,2.0,C,C,R
AL01,1980,1.0,0,0.419,1.0,C,C,C
AL01,1982,1.0,0,0.419,2.0,C,C,C
AL01,1984,1.0,0,0.35,5.0,R,C,R
AL01,1986,1.0,0,0.35,3.0,R,C,R
AL01,1988,1.0,0,0.376,3.0,C,C,R
AL01,1990,1.0,0,0.376,1.0,C,C,R
AL01,1992,1.0,0,0.4159999999999999,2.0,C,C,C
AL01,1994,1.0,0,0.416,2.0,C,C,C
AL01,1996,1.0,0,0.397,2.0,C,C,R
AL01,1998,1.0,0,0.397,2.0,C,C,R
AL01,2000,1.0,0,0.385,1.0,C,C,R
AL01,2002,1.0,0,0.385,7.0,C,C,R
AL01,2004,1.0,0,0.354,7.0,C,C,R
AL02,1980,1.0,0,0.457,3.0,C,C,C
AL02,1982,1.0,0,0.457,3.0,C,C,C
AL02,1984,1.0,0,0.361,3.0,C,C,R
AL02,1986,1.0,0,0.361,1.0,C,C,R
AL02,1988,1.0,0,0.375,1.0,C,C,R
AL02,1990,1.0,0,0.375,2.0,C,C,R
AL02,1992,1.0,0,0.399,7.0,C,C,R
AL02,1994,1.0,0,0.399,5.0,C,C,R
AL02,1996,1.0,0,0.4,4.0,C,C,R
AL02,1998,1.0,0,0.4,4.0,C,C,R
AL02,2000,1.0,0,0.359,2.0,C,C,R
AL02,2002,1.0,0,0.359,1.0,C,C,R
AL02,2004,1.0,0,0.33,2.0,R,C,R
AL03,1980,1.0,0,0.525,1.0,C,C,C
AL03,1982,1.0,0,0.525,1.0,C,C,C
AL03,1984,1.0,0,0.381,1.0,C,C,R
AL03,1986,1.0,0,0.381,2.0,C,C,R
AL03,1988,1.0,0,0.38999999999999996,1.0,C,C,R
AL03,1990,1.0,0,0.39,11.0,C,C,R
AL03,1992,1.0,0,0.46699999999999997,2.0,C,C,C
AL03,1994,1.0,0,0.467,3.0,C,C,C
AL03,1996,1.0,0,0.474,8.0,C,C,C
AL03,1998,1.0,0,0.474,3.0,C,C,C
AL03,2000,1.0,0,0.421,1.0,C,C,C
AL03,2002,1.0,0,0.421,6.0,C,C,C
AL03,2004,1.0,0,0.4139999999999999,5.0,C,C,C
AL04,1980,1.0,0,0.532,1.0,C,C,C
AL04,1982,1.0,0,0.532,1.0,C,C,C
AL04,1984,1.0,0,0.403,1.0,C,C,C
AL04,1986,1.0,0,0.4030000000000001,1.0,C,C,C
AL04,1988,1.0,0,0.42699999999999994,1.0,C,C,C
AL04,1990,1.0,0,0.427,1.0,C,C,C
AL04,1992,1.0,0,0.494,2.0,C,C,C
AL04,1994,1.0,0,0.494,1.0,C,C,C
AL04,1996,1.0,0,0.475,11.0,C,C,C
AL04,1998,1.0,0,0.4749999999999999,5.0,C,C,C
AL04,2000,1.0,0,0.396,3.0,C,C,R
AL04,2002,1.0,0,0.396,2.0,C,C,R
AL04,2004,1.0,0,0.283,3.0,R,R,R
AL05,1980,1.0,0,0.569,1.0,C,C,C
AL05,1982,1.0,0,0.569,2.0,C,C,C
AL05,1984,1.0,0,0.402,1.0,C,C,C
AL05,1986,1.0,0,0.402,1.0,C,C,C
AL05,1988,1.0,0,0.40800000000000003,2.0,C,C,C
AL05,1990,1.0,0,0.4079999999999999,10.0,C,C,C
AL05,1992,1.0,0,0.48100000000000004,3.0,C,C,C
AL05,1994,1.0,0,0.4809999999999999,3.0,C,C,C
AL05,1996,1.0,0,0.46799999999999997,4.0,C,C,C
AL05,1998,1.0,0,0.4680000000000001,2.0,C,C,C
AL05,2000,1.0,0,0.436,2.0,C,C,C
AL05,2002,1.0,0,0.436,3.0,C,C,C
AL05,2004,1.0,0,0.4,4.0,C,C,R
AL06,1980,1.0,0,0.442,3.0,C,C,C
AL06,1982,1.0,0,0.44200000000000006,3.0,C,C,C
AL06,1984,1.0,0,0.408,2.0,C,C,C
AL06,1986,1.0,0,0.408,1.0,C,C,C
AL06,1988,1.0,0,0.428,1.0,C,C,C
AL06,1990,1.0,0,0.428,1.0,C,C,C
AL06,1992,1.0,0,0.3,5.0,R,R,R
AL06,1994,1.0,0,0.3,3.0,R,R,R
AL06,1996,1.0,0,0.292,3.0,R,R,R
AL06,1998,1.0,0,0.292,4.0,R,R,R
AL06,2000,1.0,0,0.284,2.0,R,R,R
AL06,2002,1.0,0,0.284,1.0,R,R,R
AL06,2004,1.0,0,0.22,2.0,R,R,R
AL07,1980,1.0,0,0.519,1.0,C,C,C
AL07,1982,1.0,0,0.519,2.0,C,C,C
AL07,1984,1.0,0,0.405,2.0,C,C,C
AL07,1986,1.0,0,0.405,6.0,C,C,C
AL07,1988,1.0,0,0.409,1.0,C,C,C
AL07,1990,1.0,0,0.409,2.0,C,C,C
AL07,1992,1.0,0,0.716,10.0,D,D,D
AL07,1994,1.0,0,0.716,6.0,D,D,D
AL07,1996,1.0,0,0.755,6.0,D,D,D
AL07,1998,1.0,0,0.7550000000000001,2.0,D,D,D
AL07,2000,1.0,0,0.744,3.0,D,D,D
AL07,2002,1.0,0,0.744,4.0,D,D,D
AL07,2004,1.0,0,0.65,1.0,C,C,D
AR01,1980,1.0,0,0.541,1.0,C,C,C
AR01,1982,1.0,0,0.541,2.0,C,C,C
AR01,1984,1.0,0,0.432,1.0,C,C,C
AR01,1986,1.0,0,0.432,3.0,C,C,C
AR01,1988,1.0,0,0.48500000000000004,2.0,C,C,C
AR01,1990,1.0,0,0.485,4.0,C,C,C
AR01,1992,1.0,0,0.649,5.0,C,C,D
AR01,1994,1.0,0,0.649,5.0,C,C,D
AR01,1996,1.0,0,0.64,5.0,C,C,D
AR01,1998,1.0,0,0.64,1.0,C,C,D
AR01,2000,1.0,0,0.517,2.0,C,C,C
AR01,2002,1.0,0,0.517,2.0,C,C,C
AR01,2004,1.0,0,0.475,3.0,C,C,C
AR02,1980,1.0,0,0.52,4.0,C,C,C
AR02,1982,1.0,0,0.52,2.0,C,C,C
AR02,1984,1.0,0,0.397,7.0,C,C,R
AR02,1986,1.0,0,0.397,5.0,C,C,R
AR02,1988,1.0,0,0.431,2.0,C,C,C
AR02,1990,1.0,0,0.431,5.0,C,C,C
AR02,1992,1.0,0,0.606,3.0,C,C,D
AR02,1994,1.0,0,0.606,2.0,C,C,D
AR02,1996,1.0,0,0.599,10.0,C,C,C
AR02,1998,1.0,0,0.599,3.0,C,C,C
AR02,2000,1.0,0,0.49300000000000005,3.0,C,C,C
AR02,2002,1.0,0,0.493,2.0,C,C,C
AR02,2004,1.0,0,0.485,3.0,C,C,C
AR03,1980,1.0,0,0.392,1.0,C,C,R
AR03,1982,1.0,0,0.392,3.0,C,C,R
AR03,1984,1.0,0,0.298,1.0,R,R,R
AR03,1986,1.0,0,0.298,2.0,R,R,R
AR03,1988,1.0,0,0.337,3.0,R,C,R
AR03,1990,1.0,0,0.337,2.0,R,C,R
AR03,1992,1.0,0,0.504,8.0,C,C,C
AR03,1994,1.0,0,0.504,6.0,C,C,C
AR03,1996,1.0,0,0.492,5.0,C,C,C
AR03,1998,1.0,0,0.492,2.0,C,C,C
AR03,2000,1.0,0,0.385,1.0,C,C,R
AR03,2002,1.0,0,0.385,7.0,C,C,R
AR03,2004,1.0,0,0.37399999999999994,5.0,C,C,R
AR04,1980,1.0,0,0.572,1.0,C,C,C
AR04,1982,1.0,0,0.572,3.0,C,C,C
AR04,1984,1.0,0,0.43599999999999994,2.0,C,C,C
AR04,1986,1.0,0,0.436,2.0,C,C,C
AR04,1988,1.0,0,0.474,2.0,C,C,C
AR04,1990,1.0,0,0.4739999999999999,1.0,C,C,C
AR04,1992,1.0,0,0.646,4.0,C,C,D
AR04,1994,1.0,0,0.646,5.0,C,C,D
AR04,1996,1.0,0,0.658,4.0,D,C,D
AR04,1998,1.0,0,0.658,4.0,D,C,D
AR04,2000,1.0,0,0.515,5.0,C,C,C
AR04,2002,1.0,0,0.515,5.0,C,C,C
AR04,2004,1.0,0,0.485,3.0,C,C,C
AS01,1980,1.0,1,,2.0,,,
AS01,1982,1.0,1,,1.0,,,
AS01,1984,1.0,1,,2.0,,,
AS01,1986,1.0,1,,1.0,,,
AS01,1988,1.0,1,,1.0,,,
AS01,1990,1.0,1,,2.0,,,
AS01,1992,1.0,1,,1.0,,,
AS01,1994,1.0,1,,2.0,,,
AS01,1996,1.0,1,,2.0,,,
AS01,1998,1.0,1,,1.0,,,
AS01,2000,1.0,1,,2.0,,,
AS01,2002,1.0,1,,3.0,,,
AS01,2004,1.0,1,,2.0,,,
AZ01,1980,1.0,0,0.302,4.0,R,C,R
AZ01,1982,1.0,0,0.302,6.0,R,C,R
AZ01,1984,1.0,0,0.274,4.0,R,R,R
AZ01,1986,1.0,0,0.274,7.0,R,R,R
AZ01,1988,1.0,0,0.345,3.0,R,C,R
AZ01,1990,1.0,0,0.345,1.0,R,C,R
AZ01,1992,1.0,0,0.455,4.0,C,C,C
AZ01,1994,1.0,0,0.455,6.0,C,C,C
AZ01,1996,1.0,0,0.497,6.0,C,C,C
AZ01,1998,1.0,0,0.497,4.0,C,C,C
AZ01,2000,1.0,0,0.462,6.0,C,C,C
AZ01,2002,1.0,0,0.462,16.0,C,C,C
AZ01,2004,1.0,0,0.46,9.0,C,C,C
AZ02,1980,1.0,0,0.405,3.0,C,C,C
AZ02,1982,1.0,0,0.405,2.0,C,C,C
AZ02,1984,1.0,0,0.48400000000000004,2.0,C,C,C
AZ02,1986,1.0,0,0.484,3.0,C,C,C
AZ02,1988,1.0,0,0.561,1.0,C,C,C
AZ02,1990,1.0,0,0.561,1.0,C,C,C
AZ02,1992,1.0,0,0.6409999999999999,7.0,C,C,D
AZ02,1994,1.0,0,0.641,3.0,C,C,D
AZ02,1996,1.0,0,0.695,4.0,D,C,D
AZ02,1998,1.0,0,0.695,3.0,D,C,D
AZ02,2000,1.0,0,0.645,3.0,C,C,D
AZ02,2002,1.0,0,0.645,7.0,C,C,D
AZ02,2004,1.0,0,0.38,4.0,C,C,R
AZ03,1980,1.0,0,0.29,1.0,R,R,R
AZ03,1982,1.0,0,0.29,2.0,R,R,R
AZ03,1984,1.0,0,0.279,3.0,R,R,R
AZ03,1986,1.0,0,0.279,2.0,R,R,R
AZ03,1988,1.0,0,0.351,1.0,C,C,R
AZ03,1990,1.0,0,0.351,2.0,C,C,R
AZ03,1992,1.0,0,0.439,2.0,C,C,C
AZ03,1994,1.0,0,0.439,1.0,C,C,C
AZ03,1996,1.0,0,0.464,1.0,C,C,C
AZ03,1998,1.0,0,0.464,2.0,C,C,C
AZ03,2000,1.0,0,0.417,5.0,C,C,C
AZ03,2002,1.0,0,0.41700000000000004,2.0,C,C,C
AZ03,2004,1.0,0,0.42,1.0,C,C,C
AZ04,1980,1.0,0,0.28,3.0,R,R,R
AZ04,1982,1.0,0,0.28,2.0,R,R,R
AZ04,1984,1.0,0,0.284,1.0,R,R,R
AZ04,1986,1.0,0,0.284,5.0,R,R,R
AZ04,1988,1.0,0,0.347,2.0,R,C,R
AZ04,1990,1.0,0,0.347,2.0,R,C,R
AZ04,1992,1.0,0,0.422,4.0,C,C,C
AZ04,1994,1.0,0,0.422,4.0,C,C,C
AZ04,1996,1.0,0,0.475,5.0,C,C,C
AZ04,1998,1.0,0,0.475,3.0,C,C,C
AZ04,2000,1.0,0,0.456,3.0,C,C,C
AZ04,2002,1.0,0,0.456,2.0,C,C,C
AZ04,2004,1.0,0,0.62,1.0,C,C,D
AZ05,1980,0.0,0,,,,,
AZ05,1982,1.0,0,0.405,4.0,C,C,C
AZ05,1984,1.0,0,0.375,2.0,C,C,R
AZ05,1986,1.0,0,0.375,3.0,C,C,R
AZ05,1988,1.0,0,0.44000000000000006,1.0,C,C,C
AZ05,1990,1.0,0,0.44,1.0,C,C,C
AZ05,1992,1.0,0,0.527,3.0,C,C,C
AZ05,1994,1.0,0,0.527,2.0,C,C,C
AZ05,1996,1.0,0,0.519,2.0,C,C,C
AZ05,1998,1.0,0,0.519,4.0,C,C,C
AZ05,2000,1.0,0,0.487,4.0,C,C,C
AZ05,2002,1.0,0,0.48699999999999993,4.0,C,C,C
AZ05,2004,1.0,0,0.455,3.0,C,C,C
AZ06,1980,0.0,0,,,,,
AZ06,1982,0.0,0,,,,,
AZ06,1984,0.0,0,,,,,
AZ06,1986,0.0,0,,,,,
AZ06,1988,0.0,0,,,,,
AZ06,1990,0.0,0,,,,,
AZ06,1992,1.0,0,0.499,7.0,C,C,C
AZ06,1994,1.0,0,0.499,10.0,C,C,C
AZ06,1996,1.0,0,0.514,3.0,C,C,C
AZ06,1998,1.0,0,0.514,2.0,C,C,C
AZ06,2000,1.0,0,0.441,4.0,C,C,C
AZ06,2002,1.0,0,0.441,3.0,C,C,C
AZ06,2004,1.0,0,0.354,2.0,C,C,R
AZ07,1980,0.0,0,,,,,
AZ07,1982,0.0,0,,,,,
AZ07,1984,0.0,0,,,,,
AZ07,1986,0.0,0,,,,,
AZ07,1988,0.0,0,,,,,
AZ07,1990,0.0,0,,,,,
AZ07,1992,0.0,0,,,,,
AZ07,1994,0.0,0,,,,,
AZ07,1996,0.0,0,,,,,
AZ07,1998,0.0,0,,,,,
AZ07,2000,0.0,0,,,,,
AZ07,2002,1.0,0,0.57,11.0,C,C,C
AZ07,2004,1.0,0,0.57,5.0,C,C,C
AZ08,1980,0.0,0,,,,,
AZ08,1982,0.0,0,,,,,
AZ08,1984,0.0,0,,,,,
AZ08,1986,0.0,0,,,,,
AZ08,1988,0.0,0,,,,,
AZ08,1990,0.0,0,,,,,
AZ08,1992,0.0,0,,,,,
AZ08,1994,0.0,0,,,,,
AZ08,1996,0.0,0,,,,,
AZ08,1998,0.0,0,,,,,
AZ08,2000,0.0,0,,,,,
AZ08,2002,1.0,0,0.469,3.0,C,C,C
AZ08,2004,1.0,0,0.47,6.0,C,C,C
AZ09,1980,0.0,0,,,,,
AZ09,1982,0.0,0,,,,,
AZ09,1984,0.0,0,,,,,
AZ09,1986,0.0,0,,,,,
AZ09,1988,0.0,0,,,,,
AZ09,1990,0.0,0,,,,,
AZ09,1992,0.0,0,,,,,
AZ09,1994,0.0,0,,,,,
AZ09,1996,0.0,0,,,,,
AZ09,1998,0.0,0,,,,,
AZ09,2000,0.0,0,,,,,
AZ09,2002,0.0,0,,,,,
AZ09,2004,0.0,0,,,,,
CA01,1980,1.0,0,0.357,2.0,C,C,R
CA01,1982,1.0,0,0.357,4.0,C,C,R
CA01,1984,1.0,0,0.47,4.0,C,C,C
CA01,1986,1.0,0,0.47,2.0,C,C,C
CA01,1988,1.0,0,0.561,1.0,C,C,C
CA01,1990,1.0,0,0.561,4.0,C,C,C
CA01,1992,1.0,0,0.616,3.0,C,C,D
CA01,1994,1.0,0,0.616,4.0,C,C,D
CA01,1996,1.0,0,0.576,5.0,C,C,C
CA01,1998,1.0,0,0.576,4.0,C,C,C
CA01,2000,1.0,0,0.55,3.0,C,C,C
CA01,2002,1.0,0,0.55,2.0,C,C,C
CA01,2004,1.0,0,0.612,3.0,C,C,D
CA02,1980,1.0,0,0.42,5.0,C,C,C
CA02,1982,1.0,0,0.42,3.0,C,C,C
CA02,1984,1.0,0,0.355,2.0,C,C,R
CA02,1986,1.0,0,0.355,6.0,C,C,R
CA02,1988,1.0,0,0.41,2.0,C,C,C
CA02,1990,1.0,0,0.41,3.0,C,C,C
CA02,1992,1.0,0,0.48,2.0,C,C,C
CA02,1994,1.0,0,0.48,2.0,C,C,C
CA02,1996,1.0,0,0.415,4.0,C,C,C
CA02,1998,1.0,0,0.415,2.0,C,C,C
CA02,2000,1.0,0,0.366,1.0,C,C,R
CA02,2002,1.0,0,0.366,2.0,C,C,R
CA02,2004,1.0,0,0.374,3.0,C,C,R
CA03,1980,1.0,0,0.455,3.0,C,C,C
CA03,1982,1.0,0,0.455,2.0,C,C,C
CA03,1984,1.0,0,0.447,1.0,C,C,C
CA03,1986,1.0,0,0.44699999999999995,1.0,C,C,C
CA03,1988,1.0,0,0.49599999999999994,1.0,C,C,C
CA03,1990,1.0,0,0.496,1.0,C,C,C
CA03,1992,1.0,0,0.524,3.0,C,C,C
CA03,1994,1.0,0,0.524,4.0,C,C,C
CA03,1996,1.0,0,0.505,3.0,C,C,C
CA03,1998,1.0,0,0.505,9.0,C,C,C
CA03,2000,1.0,0,0.46099999999999997,4.0,C,C,C
CA03,2002,1.0,0,0.461,2.0,C,C,C
CA03,2004,1.0,0,0.41,5.0,C,C,C
CA04,1980,1.0,0,0.45500000000000007,2.0,C,C,C
CA04,1982,1.0,0,0.455,2.0,C,C,C
CA04,1984,1.0,0,0.432,3.0,C,C,C
CA04,1986,1.0,0,0.432,1.0,C,C,C
CA04,1988,1.0,0,0.485,1.0,C,C,C
CA04,1990,1.0,0,0.485,3.0,C,C,C
CA04,1992,1.0,0,0.454,3.0,C,C,C
CA04,1994,1.0,0,0.454,3.0,C,C,C
CA04,1996,1.0,0,0.424,2.0,C,C,C
CA04,1998,1.0,0,0.424,2.0,C,C,C
CA04,2000,1.0,0,0.389,2.0,C,C,R
CA04,2002,1.0,0,0.389,3.0,C,C,R
CA04,2004,1.0,0,0.37800000000000006,2.0,C,C,R
CA05,1980,1.0,0,0.531,2.0,C,C,C
CA05,1982,1.0,0,0.531,2.0,C,C,C
CA05,1984,1.0,0,0.663,5.0,D,C,D
CA05,1986,1.0,0,0.663,1.0,D,C,D
CA05,1988,1.0,0,0.72,8.0,D,D,D
CA05,1990,1.0,0,0.72,4.0,D,D,D
CA05,1992,1.0,0,0.621,3.0,C,C,D
CA05,1994,1.0,0,0.6209999999999999,2.0,C,C,D
CA05,1996,1.0,0,0.628,3.0,C,C,D
CA05,1998,1.0,0,0.628,2.0,C,C,D
CA05,2000,1.0,0,0.607,3.0,C,C,D
CA05,2002,1.0,0,0.607,2.0,C,C,D
CA05,2004,1.0,0,0.62,3.0,C,C,D
CA06,1980,1.0,0,0.616,1.0,C,C,D
CA06,1982,1.0,0,0.616,5.0,C,C,D
CA06,1984,1.0,0,0.571,4.0,C,C,C
CA06,1986,1.0,0,0.571,2.0,C,C,C
CA06,1988,1.0,0,0.648,2.0,C,C,D
CA06,1990,1.0,0,0.648,2.0,C,C,D
CA06,1992,1.0,0,0.703,11.0,D,D,D
CA06,1994,1.0,0,0.703,9.0,D,D,D
CA06,1996,1.0,0,0.665,5.0,D,C,D
CA06,1998,1.0,0,0.665,5.0,D,C,D
CA06,2000,1.0,0,0.673,3.0,D,C,D
CA06,2002,1.0,0,0.673,4.0,D,C,D
CA06,2004,1.0,0,0.717,4.0,D,D,D
CA07,1980,1.0,0,0.44499999999999995,2.0,C,C,C
CA07,1982,1.0,0,0.44500000000000006,4.0,C,C,C
CA07,1984,1.0,0,0.4749999999999999,3.0,C,C,C
CA07,1986,1.0,0,0.475,2.0,C,C,C
CA07,1988,1.0,0,0.539,2.0,C,C,C
CA07,1990,1.0,0,0.539,2.0,C,C,C
CA07,1992,1.0,0,0.732,2.0,D,D,D
CA07,1994,1.0,0,0.7320000000000001,3.0,D,D,D
CA07,1996,1.0,0,0.724,2.0,D,D,D
CA07,1998,1.0,0,0.724,2.0,D,D,D
CA07,2000,1.0,0,0.719,3.0,D,D,D
CA07,2002,1.0,0,0.7190000000000001,1.0,D,D,D
CA07,2004,1.0,0,0.677,1.0,D,C,D
CA08,1980,1.0,0,0.621,2.0,C,C,D
CA08,1982,1.0,0,0.621,4.0,C,C,D
CA08,1984,1.0,0,0.661,5.0,D,C,D
CA08,1986,1.0,0,0.661,2.0,D,C,D
CA08,1988,1.0,0,0.706,1.0,D,D,D
CA08,1990,1.0,0,0.706,1.0,D,D,D
CA08,1992,1.0,0,0.826,2.0,D,D,D
CA08,1994,1.0,0,0.826,2.0,D,D,D
CA08,1996,1.0,0,0.841,2.0,D,D,D
CA08,1998,1.0,0,0.841,1.0,D,D,D
CA08,2000,1.0,0,0.84,1.0,D,D,D
CA08,2002,1.0,0,0.84,2.0,D,D,D
CA08,2004,1.0,0,0.859,3.0,D,D,D
CA09,1980,1.0,0,0.494,2.0,C,C,C
CA09,1982,1.0,0,0.494,2.0,C,C,C
CA09,1984,1.0,0,0.49700000000000005,2.0,C,C,C
CA09,1986,1.0,0,0.49700000000000005,2.0,C,C,C
CA09,1988,1.0,0,0.576,1.0,C,C,C
CA09,1990,1.0,0,0.576,2.0,C,C,C
CA09,1992,1.0,0,0.864,2.0,D,D,D
CA09,1994,1.0,0,0.864,3.0,D,D,D
CA09,1996,1.0,0,0.857,4.0,D,D,D
CA09,1998,1.0,0,0.857,5.0,D,D,D
CA09,2000,1.0,0,0.868,1.0,D,D,D
CA09,2002,1.0,0,0.868,3.0,D,D,D
CA09,2004,1.0,0,0.8699999999999999,2.0,D,D,D
CA10,1980,1.0,0,0.47800000000000004,2.0,C,C,C
CA10,1982,1.0,0,0.478,2.0,C,C,C
CA10,1984,1.0,0,0.485,2.0,C,C,C
CA10,1986,1.0,0,0.485,1.0,C,C,C
CA10,1988,1.0,0,0.558,1.0,C,C,C
CA10,1990,1.0,0,0.558,2.0,C,C,C
CA10,1992,1.0,0,0.543,5.0,C,C,C
CA10,1994,1.0,0,0.543,4.0,C,C,C
CA10,1996,1.0,0,0.531,8.0,C,C,C
CA10,1998,1.0,0,0.531,7.0,C,C,C
CA10,2000,1.0,0,0.534,7.0,C,C,C
CA10,2002,1.0,0,0.534,3.0,C,C,C
CA10,2004,1.0,0,0.59,2.0,C,C,C
CA11,1980,1.0,0,0.43,8.0,C,C,C
CA11,1982,1.0,0,0.43,2.0,C,C,C
CA11,1984,1.0,0,0.49100000000000005,2.0,C,C,C
CA11,1986,1.0,0,0.491,2.0,C,C,C
CA11,1988,1.0,0,0.587,2.0,C,C,C
CA11,1990,1.0,0,0.587,2.0,C,C,C
CA11,1992,1.0,0,0.513,5.0,C,C,C
CA11,1994,1.0,0,0.513,5.0,C,C,C
CA11,1996,1.0,0,0.502,3.0,C,C,C
CA11,1998,1.0,0,0.502,1.0,C,C,C
CA11,2000,1.0,0,0.484,2.0,C,C,C
CA11,2002,1.0,0,0.484,2.0,C,C,C
CA11,2004,1.0,0,0.45499999999999996,2.0,C,C,C
CA12,1980,1.0,0,0.432,3.0,C,C,C
CA12,1982,1.0,0,0.43199999999999994,3.0,C,C,C
CA12,1984,1.0,0,0.421,2.0,C,C,C
CA12,1986,1.0,0,0.421,7.0,C,C,C
CA12,1988,1.0,0,0.499,7.0,C,C,C
CA12,1990,1.0,0,0.499,6.0,C,C,C
CA12,1992,1.0,0,0.682,2.0,D,C,D
CA12,1994,1.0,0,0.682,3.0,D,C,D
CA12,1996,1.0,0,0.708,1.0,D,D,D
CA12,1998,1.0,0,0.708,2.0,D,D,D
CA12,2000,1.0,0,0.711,2.0,D,D,D
CA12,2002,1.0,0,0.711,2.0,D,D,D
CA12,2004,1.0,0,0.727,4.0,D,D,D
CA13,1980,1.0,0,0.376,2.0,C,C,R
CA13,1982,1.0,0,0.376,3.0,C,C,R
CA13,1984,1.0,0,0.415,3.0,C,C,C
CA13,1986,1.0,0,0.415,1.0,C,C,C
CA13,1988,1.0,0,0.502,1.0,C,C,C
CA13,1990,1.0,0,0.502,1.0,C,C,C
CA13,1992,1.0,0,0.68,2.0,D,C,D
CA13,1994,1.0,0,0.68,3.0,D,C,D
CA13,1996,1.0,0,0.6940000000000001,4.0,D,C,D
CA13,1998,1.0,0,0.694,4.0,D,C,D
CA13,2000,1.0,0,0.692,2.0,D,C,D
CA13,2002,1.0,0,0.692,2.0,D,C,D
CA13,2004,1.0,0,0.72,2.0,D,D,D
CA14,1980,1.0,0,0.38,3.0,C,C,R
CA14,1982,1.0,0,0.38,3.0,C,C,R
CA14,1984,1.0,0,0.348,1.0,R,C,R
CA14,1986,1.0,0,0.348,1.0,R,C,R
CA14,1988,1.0,0,0.4020000000000001,2.0,C,C,C
CA14,1990,1.0,0,0.402,4.0,C,C,C
CA14,1992,1.0,0,0.667,10.0,D,C,D
CA14,1994,1.0,0,0.667,5.0,D,C,D
CA14,1996,1.0,0,0.652,2.0,D,C,D
CA14,1998,1.0,0,0.652,3.0,D,C,D
CA14,2000,1.0,0,0.659,2.0,D,C,D
CA14,2002,1.0,0,0.659,2.0,D,C,D
CA14,2004,1.0,0,0.697,2.0,D,C,D
CA15,1980,1.0,0,0.478,2.0,C,C,C
CA15,1982,1.0,0,0.4779999999999999,2.0,C,C,C
CA15,1984,1.0,0,0.408,3.0,C,C,C
CA15,1986,1.0,0,0.408,1.0,C,C,C
CA15,1988,1.0,0,0.472,1.0,C,C,C
CA15,1990,1.0,0,0.472,7.0,C,C,C
CA15,1992,1.0,0,0.604,4.0,C,C,D
CA15,1994,1.0,0,0.604,2.0,C,C,D
CA15,1996,1.0,0,0.599,5.0,C,C,C
CA15,1998,1.0,0,0.599,2.0,C,C,C
CA15,2000,1.0,0,0.6,5.0,C,C,C
CA15,2002,1.0,0,0.6,3.0,C,C,C
CA15,2004,1.0,0,0.64,2.0,C,C,D
CA16,1980,1.0,0,0.404,2.0,C,C,C
CA16,1982,1.0,0,0.404,1.0,C,C,C
CA16,1984,1.0,0,0.46900000000000003,2.0,C,C,C
CA16,1986,1.0,0,0.469,1.0,C,C,C
CA16,1988,1.0,0,0.55,2.0,C,C,C
CA16,1990,1.0,0,0.55,2.0,C,C,C
CA16,1992,1.0,0,0.659,1.0,D,C,D
CA16,1994,1.0,0,0.6589999999999999,5.0,D,C,D
CA16,1996,1.0,0,0.68,2.0,D,C,D
CA16,1998,1.0,0,0.68,2.0,D,C,D
CA16,2000,1.0,0,0.67,2.0,D,C,D
CA16,2002,1.0,0,0.67,2.0,D,C,D
CA16,2004,1.0,0,0.64,2.0,C,C,D
CA17,1980,1.0,0,0.391,2.0,C,C,R
CA17,1982,1.0,0,0.391,3.0,C,C,R
CA17,1984,1.0,0,0.36,3.0,C,C,R
CA17,1986,1.0,0,0.36,2.0,C,C,R
CA17,1988,1.0,0,0.406,2.0,C,C,C
CA17,1990,1.0,0,0.40599999999999997,4.0,C,C,C
CA17,1992,1.0,0,0.659,5.0,D,C,D
CA17,1994,1.0,0,0.659,9.0,D,C,D
CA17,1996,1.0,0,0.631,4.0,C,C,D
CA17,1998,1.0,0,0.631,2.0,C,C,D
CA17,2000,1.0,0,0.644,2.0,C,C,D
