district,cycle,real_data,territorial,avg_counting_hedging_corp,avg_counting_hedging_corp_dem_primary,avg_counting_hedging_corp_rep_primary,hedging_money_general_corp,hedging_money_dem_primary_corp,hedging_money_rep_primary_corp,avg_counting_hedging_ind,avg_counting_hedging_ind_dem_primary,avg_counting_hedging_ind_rep_primary,hedging_money_general_ind,hedging_money_dem_primary_ind,hedging_money_rep_primary_ind,avg_counting_hedging_smallind,avg_counting_hedging_smallind_dem_primary,avg_counting_hedging_smallind_rep_primary,hedging_money_general_smallind,hedging_money_dem_primary_smallind,hedging_money_rep_primary_smallind
AK01,1980,1.0,0,1.0,1.0,1.0,730.2794117647059,0.0,0.0,1.5,1.0,1.0,355.2325581395349,0.0,508.3333333333333,1.0,0.0,1.0,129.16666666666666,0.0,0.0
AK01,1982,1.0,0,1.0,0.0,1.0,671.4461538461538,0.0,0.0,1.0,0.0,1.0,701.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK01,1984,1.0,0,1.5,2.0,1.0,10756.55900621118,0.0,0.0,1.0,2.0,1.0,719.0,515.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0
AK01,1986,1.0,0,1.0,1.0,1.0,1445.5030674846626,0.0,0.0,1.0,1.0,1.0,672.8666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK01,1988,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,737.4788732394367,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
AK01,1990,1.0,0,1.0,1.0,1.0,1441.7841726618706,0.0,0.0,1.0,1.0,1.0,546.0373134328358,0.0,475.0,0.0,1.0,0.0,0.0,0.0,0.0
AK01,1992,1.0,0,2.0,2.0,2.0,1702.1471861471862,5000.0,0.0,1.0,2.0,2.0,515.3079584775087,220.0,564.2272727272727,0.0,0.0,1.0,0.0,0.0,0.0
AK01,1994,1.0,0,1.0,1.0,1.0,1838.3666666666666,0.0,0.0,1.3333333333333333,2.0,1.0,503.5991649269311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK01,1996,1.0,0,1.0,2.0,1.0,1415.173708920188,0.0,0.0,1.5,2.0,1.0,545.9700996677741,800.0,645.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0
AK01,1998,1.0,0,1.5,2.0,1.0,1701.6478260869565,0.0,2549.0,1.5,3.0,1.0,505.48275862068965,687.5,528.8461538461538,1.0,0.0,0.0,179.0,0.0,0.0
AK01,2000,1.0,0,1.0,2.0,1.0,1596.3942857142856,0.0,12745.0,1.0,1.0,1.0,644.1659388646289,0.0,732.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0
AK01,2002,1.0,0,1.0,1.0,1.0,2013.4831460674156,0.0,32299.0,1.0,0.0,1.0,810.4738219895288,0.0,640.625,1.0,0.0,1.0,0.0,0.0,0.0
AK01,2004,1.0,0,1.0,1.0,1.0,2198.429447852761,0.0,0.0,1.0,0.0,1.0,874.0196078431372,0.0,742.6190476190476,0.0,0.0,1.0,0.0,0.0,0.0
AL01,1980,1.0,0,1.0,0.0,1.0,471.06060606060606,0.0,0.0,1.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AL01,1982,1.0,0,1.0,1.0,1.0,550.5294117647059,0.0,0.0,1.0,1.0,1.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL01,1984,1.0,0,2.5,2.0,3.0,847.4956896551724,4799.0,1670.0,1.5,2.0,2.0,712.8859649122807,663.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.0
