district,cycle,real_data,territorial,cfscore_mean_prim_dem,cfscore_mean_prim_rep,cfscore_prim_abs_diff,cfscore_gen_dem,cfscore_gen_rep,cfscore_gen_abs_diff,cfscore_mean_contrib,cfscore_mean_contrib_dem,cfscore_mean_contrib_rep
AK01,1980,1.0,0,-0.608,,,,0.718,,0.5036379310344828,-0.3599722222222222,0.6622602040816327
AK01,1982,1.0,0,,,,,0.576,,0.6278536585365854,,0.6278536585365854
AK01,1984,1.0,0,-0.5135000000000001,,,,0.56,,0.27936206896551724,-0.4776909090909091,0.6292605042016807
AK01,1986,1.0,0,,0.411,,-0.781,,,0.44737984496124034,-0.6723076923076923,0.5728620689655173
AK01,1988,1.0,0,-0.752,0.511,1.263,,,,0.2823788546255507,-0.6018030303030303,0.6448385093167702
AK01,1990,1.0,0,-0.757,0.502,1.259,,,,0.40528491620111734,-0.6182982456140351,0.5991196013289036
AK01,1992,1.0,0,-0.4455,0.661,1.1065,,0.635,,0.3454,-0.5249197860962567,0.631931338028169
AK01,1994,1.0,0,-0.578,0.594,1.172,0.43,,,0.27000342857142856,-0.3857324414715719,0.6301054481546573
AK01,1996,1.0,0,-1.0895000000000001,0.568,1.6575000000000002,-0.371,,,0.39170705725699073,-0.570078125,0.5893130016051364
AK01,1998,1.0,0,-1.1524999999999999,0.579,1.7314999999999998,-0.516,,,0.23235434574976122,-0.6144597014925373,0.6307851123595506
AK01,2000,1.0,0,-0.677,0.596,1.2730000000000001,-1.014,,,0.6009078498293515,-0.17720000000000002,0.6076041308089501
AK01,2002,1.0,0,-0.783,0.541,1.324,-0.677,,,0.5390304526748971,,0.5390304526748971
AK01,2004,1.0,0,,0.521,,-0.866,,,0.5506997690531178,0.5285,0.5508373353989156
AL01,1980,1.0,0,,0.628,,,,,0.8848437499999999,,0.8848437499999999
AL01,1982,1.0,0,-0.711,1.08,1.791,,,,0.8108124999999999,-0.6532,0.981046511627907
AL01,1984,1.0,0,0.39749999999999996,0.9175,0.52,,,,0.6945450980392157,0.4364833948339484,0.9871589958158996
AL01,1986,1.0,0,-0.555,,,,1.017,,0.9547867647058823,0.5353333333333333,0.9845118110236221
AL01,1988,1.0,0,-1.064,0.995,2.059,0.422,,,0.8034840425531915,-0.15053125,0.9991794871794871
AL01,1990,1.0,0,,1.037,,,,,0.9715541401273885,,0.9715541401273885
AL01,1992,1.0,0,-0.141,0.955,1.0959999999999999,,,,0.9648232044198896,,0.9648232044198896
AL01,1994,1.0,0,-0.595,1.045,1.64,,,,0.8511167883211679,-0.3472857142857143,0.9875203252032521
AL01,1996,1.0,0,-0.521,1.047,1.568,,,,0.8066701570680629,-0.3051923076923077,0.9818727272727272
AL01,1998,1.0,0,-0.726,1.033,1.759,,,,0.9461477272727272,,0.9461477272727272
AL01,2000,1.0,0,,0.956,,,,,0.9945714285714287,,0.9945714285714287
AL01,2002,1.0,0,0.288,0.9843999999999999,0.6963999999999999,,,,0.9192791551882461,0.3230542168674699,0.968470675944334
AL01,2004,1.0,0,-0.132,1.15,1.282,,1.207,,0.9211145958986732,0.03762711864406779,1.0677412095639944
AL02,1980,1.0,0,,0.863,,-0.709,,,0.7472033898305085,-0.576,0.7936315789473685
AL02,1982,1.0,0,-0.124,0.897,1.021,,,,0.573625,0.1765357142857143,0.8824722222222223
AL02,1984,1.0,0,-0.111,0.952,1.063,0.528,,,0.6625376344086021,0.48368181818181816,0.8231428571428571
AL02,1986,1.0,0,,,,,0.655,,0.692,,0.692
AL02,1988,1.0,0,,0.56,,,,,0.8448965517241379,,0.8448965517241379
AL02,1990,1.0,0,-0.469,1.036,1.505,,,,0.6735212765957447,-0.1710681818181818,0.9315902777777778
AL02,1992,1.0,0,0.3126666666666667,1.2255,0.9128333333333334,0.179,1.345,1.166,0.6625240174672489,0.4172544642857143,1.122276150627615
AL02,1994,1.0,0,-0.1235,0.855,0.9784999999999999,-0.768,1.225,1.993,0.9805975609756098,0.37234,1.135765306122449
AL02,1996,1.0,0,,1.255,,-0.361,,,0.6949391891891892,-0.10739000000000001,1.1042908163265306
AL02,1998,1.0,0,0.596,1.11,0.5140000000000001,1.477,1.18,0.29700000000000015,1.0651744186046512,0.7234615384615384,1.09311320754717
AL02,2000,1.0,0,0.554,1.211,0.657,,,,1.0856989247311828,0.9943333333333334,1.0887444444444443
AL02,2002,1.0,0,,1.218,,,,,1.2183500810372772,,1.2183500810372772
AL02,2004,1.0,0,,,,-1.112,1.206,2.318,1.1620578125,-1.122,1.1656322378716746
AL03,1980,1.0,0,0.109,,,,,,0.49154545454545456,0.49154545454545456,
AL03,1982,1.0,0,0.162,,,,,,0.6165714285714285,0.6165714285714285,
AL03,1984,1.0,0,0.102,,,,,,0.41194444444444445,0.41194444444444445,
AL03,1986,1.0,0,0.152,1.413,1.2610000000000001,,,,0.6643333333333333,0.37676923076923075,1.412
AL03,1988,1.0,0,0.027,,,,,,0.43007142857142855,0.43007142857142855,
AL03,1990,1.0,0,-0.032,1.1065,1.1385,,,,0.5843570019723866,0.24753187919463088,1.0646148325358853
AL03,1992,1.0,0,0.122,1.441,1.319,,,,0.39004,0.28163333333333335,1.3657
AL03,1994,1.0,0,0.46,1.412,0.952,,,,0.37546236559139784,0.2314074074074074,1.3478333333333332
AL03,1996,1.0,0,0.359,1.026,0.667,,1.345,,0.6643344519015659,0.2812169197396963,1.0722263279445727
AL03,1998,1.0,0,-0.361,0.946,1.307,,1.058,,0.6180596393897364,-0.18795983935742971,1.04326906779661
AL03,2000,1.0,0,,1.066,,,,,1.0288514285714285,,1.0288514285714285
AL03,2002,1.0,0,-0.15666666666666665,0.9453333333333332,1.1019999999999999,,,,0.10482381729200653,-0.14071610169491527,0.9267730496453902
AL03,2004,1.0,0,1.049,1.176,0.127,,1.084,,0.7668626817447496,-0.3579276595744681,1.0303978065802593
AL04,1980,1.0,0,0.074,,,,,,0.36003999999999997,0.36003999999999997,
AL04,1982,1.0,0,-0.012,,,,,,0.358125,0.358125,
AL04,1984,1.0,0,0.258,,,,,,0.4761875,0.4761875,
AL04,1986,1.0,0,-0.072,,,,,,0.4826111111111111,0.4826111111111111,
AL04,1988,1.0,0,0.027,,,,,,0.37166666666666665,0.37166666666666665,
AL04,1990,1.0,0,-0.065,,,,,,0.3265789473684211,0.3265789473684211,
AL04,1992,1.0,0,,1.206,,0.196,,,0.46908270676691727,0.371104347826087,1.0950555555555554
AL04,1994,1.0,0,0.152,,,,,,0.3927699115044248,0.3927699115044248,
AL04,1996,1.0,0,0.09,1.2548,1.1647999999999998,-0.209,1.082,1.2910000000000001,0.6331682242990654,0.1631461716937355,1.1098258823529412
AL04,1998,1.0,0,0.224,-0.345,0.569,,1.117,,0.6819541463414635,0.10448184019370459,1.0716535947712418
AL04,2000,1.0,0,-0.082,,,-0.223,1.097,1.32,0.5814768166089965,0.030871111111111113,1.0641506493506494
AL04,2002,1.0,0,1.096,1.013,0.08300000000000018,,,,1.0799473684210528,,1.0799473684210528
AL04,2004,1.0,0,-0.37,1.065,1.435,-0.223,,,0.9258194945848376,-0.30110714285714285,1.0637871485943775
