Congress,Original,Cause of vacancy,Winner,Date,year,district
96th,Leo Ryan (D),Died,William Royer (R),"April 3, 1979",1979.0,CA11
96th,William A. Steiger (R),Died,Tom Petri (R),"April 3, 1979",1979.0,WI06
96th,Abner Mikva (D),Resigned,John Porter (R),"January 22, 1980",1980.0,IL10
96th,John M. Slack Jr. (D),Died,John G. Hutchinson (D),"April 9, 1980",1980.0,WV03
96th,Dan Flood (D),Resigned,Raphael Musto (D),"April 9, 1980",1980.0,PA11
96th,Dave Treen (R),Resigned,Billy Tauzin (D),"May 17, 1980",1980.0,LA03
96th,Charles Diggs (D),Resigned,George Crockett Jr. (D),"November 4, 1980",1980.0,MI13
97th,David Stockman (R),Resigned,Mark D. Siljander (R),"April 21, 1981",1981.0,MI04
97th,Gladys Spellman (D),"Fell into a permanent coma, resulting in the seat being declared vacant",Steny Hoyer (D),"May 19, 1981",1981.0,MD05
97th,Tennyson Guyer (R),Died,Mike Oxley (R),"June 25, 1981",1981.0,OH04
97th,Jon Hinson (R),Resigned,Wayne Dowdy (D),"July 7, 1981",1981.0,MS04
97th,Ray Lederer (D),"Resigned April 29, 1981",Joseph F. Smith (D),"July 21, 1981",1981.0,PA03
97th,William Cotter (D),Died,Barbara B. Kennelly (D),"January 12, 1982",1982.0,CT01
97th,John M. Ashbrook (R),Died,Jean Spencer Ashbrook (R),"June 29, 1982",1982.0,OH17
97th,George E. Danielson (D),Resigned,Matthew G. Martinez (D),"July 13, 1982",1982.0,CA30
97th,Adam Benjamin Jr. (D),Died,Katie Hall (D),"November 2, 1982",1982.0,IN01
98th,Phil Gramm (D),Resigned,Phil Gramm (R),"February 12, 1983",1983.0,TX06
98th,Benjamin Rosenthal (D),Died,Gary Ackerman (D),"March 1, 1983",1983.0,NY07
98th,Jack Swigert (D),"Representative-elect Jack Swigert (R) died December 27, 1982",Dan Schaefer (R),"March 29, 1983",1983.0,CO06
98th,Phillip Burton (D),Died,Sala Burton (D),"June 21, 1983",1983.0,CA05
98th,Harold Washington (D),Resigned,Charles Hayes (D),"August 23, 1983",1983.0,IL01
98th,Larry McDonald (D),"Died September 1, 1983",Buddy Darden (D),"November 8, 1983",1983.0,GA07
98th,Clement Zablocki (D),Died,Jerry Kleczka (D),"April 3, 1984",1984.0,WI04
98th,Carl Perkins (D),Died,Chris Perkins (D),"November 6, 1984",1984.0,KY07
98th,Edwin Forsythe (R),"Died March 29, 1984",Jim Saxton (R),"November 6, 1984",1984.0,NJ13
99th,Gillis Long (D),Died,Catherine Small Long (D),"March 30, 1985",1985.0,LA08
99th,Sam Hall (D),Resigned,Jim Chapman (D),"September 4, 1985",1985.0,TX01
99th,Joe Addabbo (D),Died,Alton Waldon (D),"July 10, 1986",1986.0,NY06
99th,Cec Heftel (D),Resigned,Neil Abercrombie (D),"September 20, 1986",1986.0,HI01
99th,Jim Broyhill (R),Resigned,Cass Ballenger (R),"November 4, 1986",1986.0,NC10
100th,Sala Burton (D),Died,Nancy Pelosi (D),"June 2, 1987",1987.0,CA05
100th,Stewart McKinney (R),Died,Chris Shays (R),"August 18, 1987",1987.0,CT04
100th,Bill Boner (D),Resigned,Bob Clement (D),"January 19, 1988",1988.0,TN05
100th,Buddy Roemer (D),Resigned,Jim McCrery (R),"April 16, 1988",1988.0,LA04
100th,Dan Daniel (D),Died,Lewis Payne (D),"June 14, 1988",1988.0,VA05
100th,Melvin Price (D),Died,Jerry Costello (D),"August 9, 1988",1988.0,IL21
100th,James Howard (D),"Died March 25, 1988",Frank Pallone (D),"November 8, 1988",1988.0,NJ03
100th,John Duncan (R),Died,Jimmy Duncan (R),"November 8, 1988",1988.0,TN02
101st,Dan Coats (R),Resigned,Jill Long (D),"March 28, 1989",1989.0,IN04
101st,William F. Nichols,Died,Glen Browder (D),"April 4, 1989",1989.0,AL03
101st,Dick Cheney (R),Resigned,Craig Thomas (R),"April 26, 1989",1989.0,WYnan
101st,Claude Pepper (D),Died,Ileana Ros-Lehtinen (R),"August 29, 1989",1989.0,FL18
101st,Tony Coelho (D),Resigned,Gary Condit (D),"September 12, 1989",1989.0,CA15
101st,Jim Wright (D),Resigned,Pete Geren (D),"September 12, 1989",1989.0,TX12
101st,Larkin Smith (R),Died,Gene Taylor (D),"October 17, 1989",1989.0,MS05
101st,Mickey Leland (D),Died,Craig Washington (D),"December 9, 1989",1989.0,TX18
101st,Guy Molinari (R),Resigned,Susan Molinari (R),"March 20, 1990",1990.0,NY14
101st,Robert Garcia (D),Resigned,José E. Serrano (D),"March 20, 1990",1990.0,NY18
101st,Daniel Akaka (D),Resigned,Patsy Mink (D),"September 22, 1990",1990.0,HI02
101st,Jim Florio (D),Resigned,Rob Andrews (D),"November 6, 1990",1990.0,NJ01
102nd,Steve Bartlett (R),Resigned,Sam Johnson (R),"May 18, 1991",1991.0,TX03
102nd,Silvio Conte (R),Died,John Olver (D),"June 4, 1991",1991.0,MA01
102nd,Ed Madigan (R),Resigned,Tom Ewing (R),"July 2, 1991",1991.0,IL15
102nd,Mo Udall (D),Resigned,Ed Pastor (D),"October 3, 1991",1991.0,AZ02
102nd,Bill Gray (D),Resigned,Lucien Blackwell (D),"November 5, 1991",1991.0,PA02
102nd,D. French Slaughter Jr. (R),Resigned,George Allen (R),"November 5, 1991",1991.0,VA07
102nd,Ted Weiss (D),Died,Jerry Nadler (D),"November 3, 1992",1992.0,NY17
102nd,Walter B. Jones Sr. (D),Died,Eva Clayton (D),"November 3, 1992",1992.0,NC01
103rd,Mike Espy (D),Resigned,Bennie Thompson (D),"April 13, 1993",1993.0,MS02
103rd,Les Aspin (D),Resigned,Peter Barca (D),"May 4, 1993",1993.0,WI01
103rd,Bill Gradison (R),Resigned,Rob Portman (R),"May 4, 1993",1993.0,OH02
103rd,Leon Panetta (D),Resigned,Sam Farr (D),"June 8, 1993",1993.0,CA17
103rd,Paul B. Henry (R),"Died July 31, 1993",Vern Ehlers (R),"December 7, 1993",1993.0,MI03
103rd,Glenn English (D),Resigned,Frank Lucas (R),"May 10, 1994",1994.0,OK06
103rd,William Natcher (D),"Died March 29, 1994",Ron Lewis (R),"May 24, 1994",1994.0,KY02
103rd,Jim Inhofe (R),Resigned,Steve Largent (R),"November 8, 1994",1994.0,OK01
104th,Norman Mineta (D),Resigned,Tom Campbell (R),"December 12, 1995",1995.0,CA15
104th,Mel Reynolds (D),Resigned,Jesse Jackson Jr. (D),"December 12, 1995",1995.0,IL02
104th,Walter R. Tucker III (D),Resigned,Juanita Millender-McDonald (D),"March 26, 1996",1996.0,CA37
104th,Kweisi Mfume (D),Resigned,Elijah Cummings (D),"April 16, 1996",1996.0,MD07
104th,Ron Wyden (D),Resigned,Earl Blumenauer (D),"May 21, 1996",1996.0,OR03
104th,Sam Brownback (R),Resigned,Jim Ryun (R),"November 5, 1996",1996.0,KS02
104th,Bill Emerson (R),"Died June 22, 1996",Jo Ann Emerson (R),"November 5, 1996",1996.0,MO08
105th,Frank Tejeda (D),Died,Ciro Rodriguez (D),"April 12, 1997",1997.0,TX28
105th,Bill Richardson (D),Resigned,Bill Redmond (R),"May 13, 1997",1997.0,NM03
105th,Susan Molinari (R),Resigned,Vito Fossella (R),"November 4, 1997",1997.0,NY13
105th,Floyd Flake (D),Resigned,Gregory Meeks (D),"February 3, 1998",1998.0,NY06
105th,Walter Capps (D),"Died October 28, 1997",Lois Capps (D),"March 10, 1998",1998.0,CA22
105th,Ron Dellums (D),Resigned,Barbara Lee (D),"April 7, 1998",1998.0,CA09
105th,Sonny Bono (R),"Died January 5, 1998",Mary Bono (R),"April 7, 1998",1998.0,CA44
105th,Tom Foglietta (D),Resigned,Bob Brady (D),"May 19, 1998",1998.0,PA01
105th,Steven Schiff (R),Died,Heather Wilson (R),"June 23, 1998",1998.0,NM01
106th,Newt Gingrich (R),"Newt Gingrich (R) resigned January 3, 1999, at the end of the previous Congress",Johnny Isakson (R),"February 23, 1999",1999.0,GA06
106th,Bob Livingston (R),Resigned,David Vitter (R),"May 29, 1999",1999.0,LA01
106th,George Brown Jr. (D),Died,Joe Baca (D),"November 16, 1999",1999.0,CA42
107th,Bud Shuster (R),Resigned,Bill Shuster (R),"May 15, 2001",2001.0,PA09
107th,Julian Dixon (D),"Julian Dixon (D) died December 8, 2000, during the previous Congress",Diane Watson (D),"June 5, 2001",2001.0,CA32
107th,Norman Sisisky (D),"Died March 29, 2001",Randy Forbes (R),"June 19, 2001",2001.0,VA04
107th,Joe Moakley (D),"Died May 28, 2001",Stephen Lynch (D),"October 16, 2001",2001.0,MA09
107th,Joe Scarborough (R),"Resigned September 5, 2001",Jeff Miller (R),"October 16, 2001",2001.0,FL01
107th,Asa Hutchinson (R),"Resigned August 6, 2001",John Boozman (R),"November 20, 2001",2001.0,AR03
107th,Floyd Spence (R),"Died August 16, 2001",Joe Wilson (R),"December 18, 2001",2001.0,SC02
107th,Steve Largent (R),Resigned,John Sullivan (R),"January 8, 2002",2002.0,OK01
107th,Patsy Mink (D),"Died September 28, 2002",Ed Case (D),"January 4, 2003",2002.0,HI02
108th,Larry Combest (R),Resigned,Randy Neugebauer (R),"June 3, 2003",2003.0,TX19
108th,Ernie Fletcher (R),"Resigned December 8, 2003",Ben Chandler (D),"February 17, 2004",2004.0,KY06
108th,Bill Janklow (R),Resigned,Stephanie Herseth Sandlin (D),"June 1, 2004",2004.0,SDnan
108th,Frank Ballance (D),Resigned,G. K. Butterfield (D),"July 20, 2004",2004.0,NC01
109th,Bob Matsui (D),"Bob Matsui (D) died January 1, 2005, before the end of previous Congress",Doris Matsui (D),"March 8, 2005",2005.0,CA05
109th,Rob Portman (R),Resigned,Jean Schmidt (R),"August 2, 2005",2005.0,OH02
109th,Christopher Cox (R),Resigned,John Campbell (R),"December 6, 2005",2005.0,CA48
109th,Duke Cunningham (R),Resigned,Brian Bilbray (R),"June 6, 2006",2006.0,CA50
109th,Bob Menendez (D),Resigned,Albio Sires (D),"November 7, 2006",2006.0,NJ13
109th,Tom DeLay (R),Resigned,Shelley Sekula-Gibbs (R),"November 7, 2006",2006.0,TX22
110th,Charlie Norwood (R),"Died February 13, 2007",Paul Broun (R),"July 19, 2007",2007.0,GA10
110th,Juanita Millender-McDonald (D),"Died April 22, 2007",Laura Richardson (D),"August 21, 2007",2007.0,CA37
110th,Marty Meehan (D),"Resigned July 1, 2007",Niki Tsongas (D),"October 16, 2007",2007.0,MA05
110th,Paul Gillmor (R),"Died September 5, 2007",Bob Latta (R),"December 11, 2007",2007.0,OH05
110th,Jo Ann Davis (R),"Died October 6, 2007",Rob Wittman (R),"December 11, 2007",2007.0,VA01
110th,Dennis Hastert (R),Resigned,Bill Foster (D),"March 8, 2008",2008.0,IL14
110th,Julia Carson (D),"Died December 15, 2007",André Carson (D),"March 11, 2008",2008.0,IN07
110th,Tom Lantos (D),"Died February 11, 2008",Jackie Speier (D),"April 8, 2008",2008.0,CA12
110th,Bobby Jindal (R),Resigned,Steve Scalise (R),"May 3, 2008",2008.0,LA01
110th,Richard Baker (R),Resigned,Don Cazayoux (D),"May 3, 2008",2008.0,LA06
110th,Roger Wicker (R),"Resigned December 31, 2007",Travis Childers (D),"May 13, 2008",2008.0,MS01
110th,Albert Wynn (D),Resigned,Donna Edwards (D),"June 17, 2008",2008.0,MD04
110th,Stephanie Tubbs Jones (D),"Died August 20, 2008",Marcia Fudge (D),"November 18, 2008",2008.0,OH11
111th,Kirsten Gillibrand (D),Resigned,Scott Murphy (D),"March 31, 2009",2009.0,NY20
