state,district,years,full_text,year_after_1980,discontinued_after_1980,created_after_1980,code,district_number,at-large_dummy,obsolete,obsolete_year
Alabama,AL01,"1819, 1823, 1841, 1843, 1873, 1877, 1913, 1917, 1963, 1965","At-large: 1819–1823, 1841–1843, 1873–1877, 1913–1917, 1963–1965 (obsolete)",0,0,0,AL,01,1,1,
Alabama,AL01,"1823, 1841, 1843, 1963, 1965","1st district: 1823–1841, 1843–1963, 1965–present",0,0,0,AL,01,0,0,
Alabama,AL02,"1823, 1841, 1843, 1963, 1965","2nd district: 1823–1841, 1843–1963, 1965–present",0,0,0,AL,02,0,0,
Alabama,AL03,"1823, 1841, 1843, 1963, 1965","3rd district: 1823–1841, 1843–1963, 1965–present",0,0,0,AL,03,0,0,
Alabama,AL04,"1833, 1841, 1843, 1963, 1965","4th district: 1833–1841, 1843–1963, 1965–present",0,0,0,AL,04,0,0,
Alabama,AL05,"1833, 1841, 1843, 1963, 1965","5th district: 1833–1841, 1843–1963, 1965–present",0,0,0,AL,05,0,0,
Alabama,AL06,"1843, 1963, 1965","6th district: 1843–1963, 1965–present",0,0,0,AL,06,0,0,
Alabama,AL07,"1843, 1863, 1877, 1963, 1965","7th district: 1843–1863, 1877–1963, 1965–present",0,0,0,AL,07,0,0,
Alabama,AL08,"1877, 1963, 1965, 1973","8th district: 1877–1963, 1965–1973 (obsolete since the1970 census)",0,0,0,AL,08,0,1,1970.0
Alabama,AL09,"1893, 1963",9th district: 1893–1963 (obsolete since the1960 census),0,0,0,AL,09,0,1,1960.0
Alabama,AL10,"1917, 1933",10th district: 1917–1933 (obsolete since the1930 census),0,0,0,AL,10,0,1,1930.0
Alaska,AK01,1959,At-large: 1959–present,0,0,0,AK,01,1,0,
Arizona,AZ01,"1912, 1949",At-large: 1912–1949 (obsolete),0,0,0,AZ,01,1,1,
Arizona,AZ01,1949,1st district: 1949–present,0,0,0,AZ,01,0,0,
Arizona,AZ02,1949,2nd district: 1949–present,0,0,0,AZ,02,0,0,
Arizona,AZ03,1963,3rd district: 1963–present,0,0,0,AZ,03,0,0,
Arizona,AZ04,1973,4th district: 1973–present,0,0,0,AZ,04,0,0,
Arizona,AZ05,1983,5th district: 1983–present,1,0,1,AZ,05,0,0,
Arizona,AZ06,1993,6th district: 1993–present,1,0,1,AZ,06,0,0,
Arizona,AZ07,2003,7th district: 2003–present,1,0,1,AZ,07,0,0,
Arizona,AZ08,2003,8th district: 2003–present,1,0,1,AZ,08,0,0,
Arizona,AZ09,2013,9th district: 2013–present,1,0,1,AZ,09,0,0,
Arkansas,AR01,"1836, 1853, 1873, 1875, 1883, 1885","At-large: 1836–1853, 1873–1875, 1883–1885 (obsolete)",0,0,0,AR,01,1,1,
Arkansas,AR01,1853,1st district: 1853–present,0,0,0,AR,01,0,0,
Arkansas,AR02,1853,2nd district: 1853–present,0,0,0,AR,02,0,0,
Arkansas,AR03,1863,3rd district: 1863–present,0,0,0,AR,03,0,0,
Arkansas,AR04,1875,4th district: 1875–present,0,0,0,AR,04,0,0,
Arkansas,AR05,"1885, 1963",5th district: 1885–1963 (obsolete since the1960 census),0,0,0,AR,05,0,1,1960.0
Arkansas,AR06,"1893, 1963",6th district: 1893–1963 (obsolete since the1960 census),0,0,0,AR,06,0,1,1960.0
Arkansas,AR07,"1903, 1953",7th district: 1903–1953 (obsolete since the1950 census),0,0,0,AR,07,0,1,1950.0
California,CA01,"1849, 1865, 1883, 1885","At-large: 1849–1865, 1883–1885 (obsolete)",0,0,0,CA,01,1,1,
California,CA01,1865,1st district: 1865–present,0,0,0,CA,01,0,0,
California,CA02,1865,2nd district: 1865–present,0,0,0,CA,02,0,0,
California,CA03,1865,3rd district: 1865–present,0,0,0,CA,03,0,0,
California,CA04,1873,4th district: 1873–present,0,0,0,CA,04,0,0,
