district,created_year,discontinued_year,exist_always
AK01,,,1.0
AL01,,,1.0
AL02,,,1.0
AL03,,,1.0
AL04,,,1.0
AL05,,,1.0
AL06,,,1.0
AL07,,,1.0
AR01,,,1.0
AR02,,,1.0
AR03,,,1.0
AR04,,,1.0
AS01,,,1.0
AZ01,,,1.0
AZ02,,,1.0
AZ03,,,1.0
AZ04,,,1.0
AZ05,1982.0,,0.0
AZ06,1992.0,,0.0
AZ07,2002.0,,0.0
AZ08,2002.0,,0.0
AZ09,2012.0,,0.0
CA01,,,1.0
CA02,,,1.0
CA03,,,1.0
CA04,,,1.0
CA05,,,1.0
CA06,,,1.0
CA07,,,1.0
CA08,,,1.0
CA09,,,1.0
CA10,,,1.0
CA11,,,1.0
CA12,,,1.0
CA13,,,1.0
CA14,,,1.0
CA15,,,1.0
CA16,,,1.0
CA17,,,1.0
CA18,,,1.0
CA19,,,1.0
CA20,,,1.0
CA21,,,1.0
CA22,,,1.0
CA23,,,1.0
CA24,,,1.0
CA25,,,1.0
CA26,,,1.0
CA27,,,1.0
CA28,,,1.0
CA29,,,1.0
CA30,,,1.0
CA31,,,1.0
CA32,,,1.0
CA33,,,1.0
CA34,,,1.0
CA35,,,1.0
CA36,,,1.0
CA37,,,1.0
CA38,,,1.0
CA39,,,1.0
CA40,,,1.0
CA41,,,1.0
CA42,,,1.0
CA43,,,1.0
CA44,1982.0,,0.0
CA45,1982.0,,0.0
CA46,1992.0,,0.0
CA47,1992.0,,0.0
CA48,1992.0,,0.0
CA49,1992.0,,0.0
CA50,1992.0,,0.0
CA51,1992.0,,0.0
CA52,1992.0,,0.0
CA53,2002.0,2020.0,0.0
CO01,,,1.0
CO02,,,1.0
CO03,,,1.0
CO04,,,1.0
CO05,,,1.0
CO06,1982.0,,0.0
CO07,2002.0,,0.0
CO08,2022.0,,0.0
CT01,,,1.0
CT02,,,1.0
CT03,,,1.0
CT04,,,1.0
CT05,,,1.0
CT06,,2000.0,0.0
DC01,,,1.0
DE01,,,1.0
FL01,,,1.0
FL02,,,1.0
FL03,,,1.0
FL04,,,1.0
FL05,,,1.0
FL06,,,1.0
FL07,,,1.0
FL08,,,1.0
FL09,,,1.0
FL10,,,1.0
FL11,,,1.0
FL12,,,1.0
FL13,,,1.0
