district,cycle,real_data,territorial
AK01,1980,1.0,0
AK01,1982,1.0,0
AK01,1984,1.0,0
AK01,1986,1.0,0
AK01,1988,1.0,0
AK01,1990,1.0,0
AK01,1992,1.0,0
AK01,1994,1.0,0
AK01,1996,1.0,0
AK01,1998,1.0,0
AK01,2000,1.0,0
AK01,2002,1.0,0
AK01,2004,1.0,0
AL01,1980,1.0,0
AL01,1982,1.0,0
AL01,1984,1.0,0
AL01,1986,1.0,0
AL01,1988,1.0,0
AL01,1990,1.0,0
AL01,1992,1.0,0
AL01,1994,1.0,0
AL01,1996,1.0,0
AL01,1998,1.0,0
AL01,2000,1.0,0
AL01,2002,1.0,0
AL01,2004,1.0,0
AL02,1980,1.0,0
AL02,1982,1.0,0
AL02,1984,1.0,0
AL02,1986,1.0,0
AL02,1988,1.0,0
AL02,1990,1.0,0
AL02,1992,1.0,0
AL02,1994,1.0,0
AL02,1996,1.0,0
AL02,1998,1.0,0
AL02,2000,1.0,0
AL02,2002,1.0,0
AL02,2004,1.0,0
AL03,1980,1.0,0
AL03,1982,1.0,0
AL03,1984,1.0,0
AL03,1986,1.0,0
AL03,1988,1.0,0
AL03,1990,1.0,0
AL03,1992,1.0,0
AL03,1994,1.0,0
AL03,1996,1.0,0
AL03,1998,1.0,0
AL03,2000,1.0,0
AL03,2002,1.0,0
AL03,2004,1.0,0
AL04,1980,1.0,0
AL04,1982,1.0,0
AL04,1984,1.0,0
AL04,1986,1.0,0
AL04,1988,1.0,0
AL04,1990,1.0,0
AL04,1992,1.0,0
AL04,1994,1.0,0
AL04,1996,1.0,0
AL04,1998,1.0,0
AL04,2000,1.0,0
AL04,2002,1.0,0
AL04,2004,1.0,0
AL05,1980,1.0,0
AL05,1982,1.0,0
AL05,1984,1.0,0
AL05,1986,1.0,0
AL05,1988,1.0,0
AL05,1990,1.0,0
AL05,1992,1.0,0
AL05,1994,1.0,0
AL05,1996,1.0,0
AL05,1998,1.0,0
AL05,2000,1.0,0
AL05,2002,1.0,0
AL05,2004,1.0,0
AL06,1980,1.0,0
AL06,1982,1.0,0
AL06,1984,1.0,0
AL06,1986,1.0,0
AL06,1988,1.0,0
AL06,1990,1.0,0
AL06,1992,1.0,0
AL06,1994,1.0,0
AL06,1996,1.0,0
AL06,1998,1.0,0
AL06,2000,1.0,0
AL06,2002,1.0,0
AL06,2004,1.0,0
AL07,1980,1.0,0
AL07,1982,1.0,0
AL07,1984,1.0,0
AL07,1986,1.0,0
AL07,1988,1.0,0
AL07,1990,1.0,0
AL07,1992,1.0,0
AL07,1994,1.0,0
AL07,1996,1.0,0
AL07,1998,1.0,0
AL07,2000,1.0,0
AL07,2002,1.0,0
AL07,2004,1.0,0
AR01,1980,1.0,0
AR01,1982,1.0,0
AR01,1984,1.0,0
AR01,1986,1.0,0
AR01,1988,1.0,0
AR01,1990,1.0,0
AR01,1992,1.0,0
AR01,1994,1.0,0
AR01,1996,1.0,0
AR01,1998,1.0,0
AR01,2000,1.0,0
AR01,2002,1.0,0
AR01,2004,1.0,0
AR02,1980,1.0,0
AR02,1982,1.0,0
AR02,1984,1.0,0
AR02,1986,1.0,0
AR02,1988,1.0,0
AR02,1990,1.0,0
AR02,1992,1.0,0
AR02,1994,1.0,0
AR02,1996,1.0,0
AR02,1998,1.0,0
AR02,2000,1.0,0
AR02,2002,1.0,0
AR02,2004,1.0,0
AR03,1980,1.0,0
AR03,1982,1.0,0
AR03,1984,1.0,0
AR03,1986,1.0,0
AR03,1988,1.0,0
AR03,1990,1.0,0
AR03,1992,1.0,0
AR03,1994,1.0,0
AR03,1996,1.0,0
AR03,1998,1.0,0
AR03,2000,1.0,0
AR03,2002,1.0,0
AR03,2004,1.0,0
AR04,1980,1.0,0
AR04,1982,1.0,0
AR04,1984,1.0,0
AR04,1986,1.0,0
AR04,1988,1.0,0
AR04,1990,1.0,0
AR04,1992,1.0,0
AR04,1994,1.0,0
AR04,1996,1.0,0
AR04,1998,1.0,0
AR04,2000,1.0,0
AR04,2002,1.0,0
AR04,2004,1.0,0
AS01,1980,1.0,1
AS01,1982,1.0,1
AS01,1984,1.0,1
AS01,1986,1.0,1
AS01,1988,1.0,1
AS01,1990,1.0,1
AS01,1992,1.0,1
AS01,1994,1.0,1
AS01,1996,1.0,1
AS01,1998,1.0,1
AS01,2000,1.0,1
AS01,2002,1.0,1
AS01,2004,1.0,1
AZ01,1980,1.0,0
AZ01,1982,1.0,0
AZ01,1984,1.0,0
AZ01,1986,1.0,0
AZ01,1988,1.0,0
AZ01,1990,1.0,0
AZ01,1992,1.0,0
AZ01,1994,1.0,0
AZ01,1996,1.0,0
AZ01,1998,1.0,0
AZ01,2000,1.0,0
AZ01,2002,1.0,0
AZ01,2004,1.0,0
AZ02,1980,1.0,0
AZ02,1982,1.0,0
AZ02,1984,1.0,0
AZ02,1986,1.0,0
AZ02,1988,1.0,0
AZ02,1990,1.0,0
AZ02,1992,1.0,0
AZ02,1994,1.0,0
AZ02,1996,1.0,0
AZ02,1998,1.0,0
AZ02,2000,1.0,0
AZ02,2002,1.0,0
AZ02,2004,1.0,0
AZ03,1980,1.0,0
